Epoch,loss,Validation loss,Model,Training,split
7,2.594543933868408,2.50928258895874,ensemble5_cross_covariance_detector30s,instance,0
8,2.5729804039001465,2.7035021781921387,ensemble5_cross_covariance_detector30s,instance,0
9,2.889794111251831,2.8220603466033936,ensemble5_cross_covariance_detector30s,instance,0
10,2.857309579849243,3.04205322265625,ensemble5_cross_covariance_detector30s,instance,0
11,2.8174378871917725,2.7421529293060303,ensemble5_cross_covariance_detector30s,instance,0
12,2.864131450653076,3.058577060699463,ensemble5_cross_covariance_detector30s,instance,0
13,3.299943447113037,3.360516309738159,ensemble5_cross_covariance_detector30s,instance,0
14,3.4411442279815674,3.420248031616211,ensemble5_cross_covariance_detector30s,instance,0
0,6.78729248046875,5.167242527008057,ensemble5_cross_covariance_detector30s,instance,1
1,4.512545108795166,3.944193601608277,ensemble5_cross_covariance_detector30s,instance,1
2,3.542242765426636,3.108626127243042,ensemble5_cross_covariance_detector30s,instance,1
3,2.8850386142730717,2.802772045135498,ensemble5_cross_covariance_detector30s,instance,1
4,2.653923988342285,2.6736440658569336,ensemble5_cross_covariance_detector30s,instance,1
5,2.513519287109375,2.492992401123047,ensemble5_cross_covariance_detector30s,instance,1
6,2.4489169120788574,2.524529457092285,ensemble5_cross_covariance_detector30s,instance,1
7,2.618562936782837,2.653728008270264,ensemble5_cross_covariance_detector30s,instance,1
8,2.6932733058929443,2.739174127578736,ensemble5_cross_covariance_detector30s,instance,1
9,2.844426155090332,2.776515007019043,ensemble5_cross_covariance_detector30s,instance,1
10,2.8595309257507324,2.7861111164093018,ensemble5_cross_covariance_detector30s,instance,1
11,2.948098659515381,2.90376877784729,ensemble5_cross_covariance_detector30s,instance,1
12,3.0030128955841064,3.039118766784668,ensemble5_cross_covariance_detector30s,instance,1
13,3.269174814224243,3.2143826484680176,ensemble5_cross_covariance_detector30s,instance,1
14,3.3108513355255127,3.262028455734253,ensemble5_cross_covariance_detector30s,instance,1
0,6.702702045440674,5.27764368057251,ensemble5_cross_covariance_detector30s,instance,2
1,4.62795877456665,4.049412727355957,ensemble5_cross_covariance_detector30s,instance,2
2,3.605555295944214,3.049015045166016,ensemble5_cross_covariance_detector30s,instance,2
3,2.851473331451416,2.673344612121582,ensemble5_cross_covariance_detector30s,instance,2
4,2.618880271911621,2.633603811264038,ensemble5_cross_covariance_detector30s,instance,2
5,2.529584646224976,2.461144208908081,ensemble5_cross_covariance_detector30s,instance,2
6,2.503509998321533,2.374842405319214,ensemble5_cross_covariance_detector30s,instance,2
7,2.370367765426636,2.2059266567230225,ensemble5_cross_covariance_detector30s,instance,2
8,2.2794151306152344,2.1614232063293457,ensemble5_cross_covariance_detector30s,instance,2
9,2.330980062484741,2.181935787200928,ensemble5_cross_covariance_detector30s,instance,2
10,2.368543863296509,2.257276058197021,ensemble5_cross_covariance_detector30s,instance,2
11,2.481330394744873,2.349032402038574,ensemble5_cross_covariance_detector30s,instance,2
12,2.52590012550354,2.482933759689331,ensemble5_cross_covariance_detector30s,instance,2
13,2.632535696029663,2.502063512802124,ensemble5_cross_covariance_detector30s,instance,2
14,2.666761875152588,2.5895345211029053,ensemble5_cross_covariance_detector30s,instance,2
0,6.860326290130615,5.221289157867432,ensemble5_cross_covariance_detector30s,instance,3
1,4.598516464233398,4.141973495483398,ensemble5_cross_covariance_detector30s,instance,3
2,3.666002035140991,3.216228723526001,ensemble5_cross_covariance_detector30s,instance,3
3,3.049717664718628,3.0121214389801025,ensemble5_cross_covariance_detector30s,instance,3
4,2.9362752437591557,2.645637989044189,ensemble5_cross_covariance_detector30s,instance,3
5,2.5305163860321045,2.5084774494171143,ensemble5_cross_covariance_detector30s,instance,3
6,2.6193885803222656,2.6210711002349854,ensemble5_cross_covariance_detector30s,instance,3
